filename,correction / note,framestart,framestop,frameoffset,class,handnum,relocatable?,bodytouch?,handtohandtouch?,mouth,WordNetEntries,SpreadTheSignExample,SignDictExample,fps,videolink_body,videolink_face,annotation_name
AUCH,Aufgenommen (Sept 2021),202.0,220.0,,,1.0,no,no,no,<auch>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=AUCH.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_AUCH_trimmed.mp4,AUCH
AUF(-Objekt),Aufgenommen (Sept 2021),209.0,233.0,,,1.0,yes,no,no,<auf>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=AUF(-Objekt).mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_AUF(-Objekt)_trimmed.mp4,AUF(-Objekt)
AUF(-tueren),Aufgenommen 21.06.22,201.0,223.0,,,2.0,yes,no,yes,<auf>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=AUF(-tueren).mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_AUF(-tueren)_trimmed.mp4,AUF(-tueren)
AUFBRECHEN,"Neu aufgenommen am 22.06.22, alles ok.",211.0,230.0,,,2.0,no,no,yes, gest,"{01852660} S: (v) go (go%2:38:01::), go away (go_away%2:38:05::), depart (depart%2:38:04::) (move away from a place into another direction) ""Go away before I start to cry""; ""The train departs at noon""",,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=AUFBRECHEN.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_AUFBRECHEN_trimmed.mp4,AUFBRECHEN
AUFFAHREN,Aufgenommen (Sept 2021),243.0,282.0,,,2.0,yes,no,no,gest,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=AUFFAHREN.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_AUFFAHREN_trimmed.mp4,AUFFAHREN
AUFLEUCHTEN,Aufgenommen (Dez 2021),233.0,242.0,,,1.0,yes,no,no,gest,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=AUFLEUCHTEN.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_AUFLEUCHTEN_trimmed.mp4,AUFLEUCHTEN
AUFPASSEN,Aufgenommen 29.09.22,176.0,207.0,,,2.0,no,no,yes,<aufpassen>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=AUFPASSEN.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_AUFPASSEN_trimmed.mp4,AUFPASSEN
AUFZAEHLEN,"Aufgenommen (Dez 2021)
Wiederholen (Feb 2023)!!!",189.0,220.0,,,1.0,yes,no,no,gest,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=AUFZAEHLEN.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_AUFZAEHLEN_trimmed.mp4,AUFZAEHLEN
AUFZUG,Aufgenommen 21.06.22,205.0,237.0,,,1.0,yes,no,no,gest,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=AUFZUG.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_AUFZUG_trimmed.mp4,AUFZUG
AUGSBURG,"Aufgenommen 21.06.22
Wiederholen (Feb 2023)!!!",198.0,234.0,,Ort,1.0,no,yes,no,<augsburg>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns&files=AUGSBURG.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Fsigns%2F_facecam&files=faceCam_AUGSBURG_trimmed.mp4,AUGSBURG
